date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:14	13432/13432	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:13%20GMT	https://help.getkello.com/	./site_kello_help/help.getkello.com/index.html	(from )
14:03:17	117042/117042	---MCZ	200	added ('OK')	text/css	etag:%2239a5a7b97fd6e4aad8fe8f89b35bb4438571a791%22	http://d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1745955230907.css	./site_kello_help/d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1745955230907.css	(from https://help.getkello.com/)
14:03:17	1934/1934	---M--	200	added ('OK')	image/png	etag:%22929eb32c253ee091d6924cb440b20e9d66059b6c%22	http://d3eto7onm69fcz.cloudfront.net/assets/ico/touch-152.png	./site_kello_help/d3eto7onm69fcz.cloudfront.net/assets/ico/touch-152.png	(from https://help.getkello.com/)
14:03:17	16453/16453	---M--	200	added ('OK')	image/png	etag:%2260f5f467eaa6d693d6f7c5e94e319591%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/591965132c7d3a057f891402/favicon-copy.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/591965132c7d3a057f891402/favicon-copy.png	(from https://help.getkello.com/)
14:03:19	16479/16479	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:18%20GMT	https://help.getkello.com/article/40-creating-an-alarm-using-spotify-deezer-tidal-soundcloud-or-radio	./site_kello_help/help.getkello.com/article/40-creating-an-alarm-using-spotify-deezer-tidal-soundcloud-or-radio.html	(from https://help.getkello.com/)
14:03:20	13085/13085	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:19%20GMT	https://help.getkello.com/article/57-i-dont-see-wi-fi-on-my-kello	./site_kello_help/help.getkello.com/article/57-i-dont-see-wi-fi-on-my-kello.html	(from https://help.getkello.com/)
14:03:21	14218/14218	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:20%20GMT	https://help.getkello.com/article/28-when-connecting-my-kello-to-my-wi-fi-network-i-have-an-error	./site_kello_help/help.getkello.com/article/28-when-connecting-my-kello-to-my-wi-fi-network-i-have-an-error.html	(from https://help.getkello.com/)
14:03:22	12282/12282	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:21%20GMT	https://help.getkello.com/article/72-setup-my-kello-manually	./site_kello_help/help.getkello.com/article/72-setup-my-kello-manually.html	(from https://help.getkello.com/)
14:03:23	14409/14409	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:22%20GMT	https://help.getkello.com/article/68-how-to-enable-multicast-and-upnp-on-my-router	./site_kello_help/help.getkello.com/article/68-how-to-enable-multicast-and-upnp-on-my-router.html	(from https://help.getkello.com/)
14:03:24	12444/12444	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:23%20GMT	https://help.getkello.com/article/37-my-kello-is-completely-unresponsive	./site_kello_help/help.getkello.com/article/37-my-kello-is-completely-unresponsive.html	(from https://help.getkello.com/)
14:03:25	14695/14695	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:23%20GMT	https://help.getkello.com/article/13-setting-up-your-kello	./site_kello_help/help.getkello.com/article/13-setting-up-your-kello.html	(from https://help.getkello.com/)
14:03:26	12526/12526	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:25%20GMT	https://help.getkello.com/article/59-how-to-setup-kello-with-ifttt	./site_kello_help/help.getkello.com/article/59-how-to-setup-kello-with-ifttt.html	(from https://help.getkello.com/)
14:03:27	12770/12770	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:26%20GMT	https://help.getkello.com/article/50-how-to-hard-reset-kello	./site_kello_help/help.getkello.com/article/50-how-to-hard-reset-kello.html	(from https://help.getkello.com/)
14:03:28	12588/12588	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:27%20GMT	https://help.getkello.com/article/36-my-kello-always-displays-the-loading-bar	./site_kello_help/help.getkello.com/article/36-my-kello-always-displays-the-loading-bar.html	(from https://help.getkello.com/)
14:03:29	14138/14138	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:28%20GMT	https://help.getkello.com/category/11-troubleshooting	./site_kello_help/help.getkello.com/category/11-troubleshooting.html	(from https://help.getkello.com/)
14:03:30	12858/12858	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:29%20GMT	https://help.getkello.com/category/9-using-kello	./site_kello_help/help.getkello.com/category/9-using-kello.html	(from https://help.getkello.com/)
14:03:31	11937/11937	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:30%20GMT	https://help.getkello.com/category/10-general-questions	./site_kello_help/help.getkello.com/category/10-general-questions.html	(from https://help.getkello.com/)
14:03:34	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2030%20Apr%202025%2012:03:33%20GMT	http://d3eto7onm69fcz.cloudfront.net/assets/fonts/helpscout-docs3.eot	./site_kello_help/d3eto7onm69fcz.cloudfront.net/assets/fonts/helpscout-docs3.12.delayed	(from http://d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1745955230907.css)
14:03:35	118353/118353	---MCZ	200	added ('OK')	application/javascript	etag:%22bf16e6ce5081bd52124a0eba07eb9797a04df0a4%22	http://d3eto7onm69fcz.cloudfront.net/assets/javascripts/app3.min.js	./site_kello_help/d3eto7onm69fcz.cloudfront.net/assets/javascripts/app3.min.js	(from https://help.getkello.com/)
14:03:37	11516/11516	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Apr%202025%2012:03:31%20GMT	https://help.getkello.com/category/49-how-tos	./site_kello_help/help.getkello.com/category/49-how-tos.html	(from https://help.getkello.com/)
14:03:37	117042/117042	---MCZ	200	added ('OK')	text/css	etag:%2239a5a7b97fd6e4aad8fe8f89b35bb4438571a791%22	http://d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1745974517567.css	./site_kello_help/d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1745974517567.css	(from https://help.getkello.com/article/40-creating-an-alarm-using-spotify-deezer-tidal-soundcloud-or-radio)
14:03:45	78143/78143	---M--	200	added ('OK')	image/png	etag:%22b4ed47a35e93de0f9324bede4866839d%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58d37ed3dd8c8e7f5974d0bb/file-zQOxiuGRsi.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58d37ed3dd8c8e7f5974d0bb/file-zQOxiuGRsi.png	(from https://help.getkello.com/article/40-creating-an-alarm-using-spotify-deezer-tidal-soundcloud-or-radio)
14:03:54	74053/74053	---M--	200	added ('OK')	image/png	etag:%22eced7dd05cbdc99fbd32b4d6270752c9%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58d37f082c7d3a79f5f8f442/file-VZPcaOW4uB.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58d37f082c7d3a79f5f8f442/file-VZPcaOW4uB.png	(from https://help.getkello.com/article/40-creating-an-alarm-using-spotify-deezer-tidal-soundcloud-or-radio)
14:03:56	979/979	---M--	200	added ('OK')	image/png	etag:%22a2ebfa56e0514c343e658fdb16f9d389%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58d399c6dd8c8e7f5974d19d/file-4cwR8vINCk.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58d399c6dd8c8e7f5974d19d/file-4cwR8vINCk.png	(from https://help.getkello.com/article/40-creating-an-alarm-using-spotify-deezer-tidal-soundcloud-or-radio)
14:03:58	1783/1783	---M--	200	added ('OK')	image/png	etag:%2219d6a7f85eae82c4b517adda73e6d825%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/5912e00d0428634b4a3300a6/file-XGJdsARJKL.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/5912e00d0428634b4a3300a6/file-XGJdsARJKL.png	(from https://help.getkello.com/article/57-i-dont-see-wi-fi-on-my-kello)
14:04:13	80320/80320	---M--	200	added ('OK')	image/png	etag:%22d1d75cbc95dd1803013052ad6bbbbdb5%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/592417792c7d3a074e8abb6e/file-hjizz4uxUM.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/592417792c7d3a074e8abb6e/file-hjizz4uxUM.png	(from https://help.getkello.com/article/57-i-dont-see-wi-fi-on-my-kello)
14:04:17	18044/18044	---M--	200	added ('OK')	image/png	etag:%223050455fee58553946c8af57473e0d28%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/591935790428634b4a331f18/file-tfKnK6LPLF.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/591935790428634b4a331f18/file-tfKnK6LPLF.png	(from https://help.getkello.com/article/57-i-dont-see-wi-fi-on-my-kello)
14:04:52	195674/195674	---M--	200	added ('OK')	image/gif	etag:%229eabc45b188e09f06799a29c6924c1a4%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/591ac3f40428634b4a332970/file-Vp5fvSfuJO.gif	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/591ac3f40428634b4a332970/file-Vp5fvSfuJO.gif	(from https://help.getkello.com/article/57-i-dont-see-wi-fi-on-my-kello)
14:04:55	117042/117042	---MCZ	200	added ('OK')	text/css	etag:%2239a5a7b97fd6e4aad8fe8f89b35bb4438571a791%22	http://d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1746000703768.css	./site_kello_help/d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1746000703768.css	(from https://help.getkello.com/article/28-when-connecting-my-kello-to-my-wi-fi-network-i-have-an-error)
14:05:02	28833/28833	---M--	200	added ('OK')	image/png	etag:%22f7898306da3ad5bec486413db8ca9270%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58ddd60cdd8c8e5c57310169/file-YE3JvZr7dQ.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58ddd60cdd8c8e5c57310169/file-YE3JvZr7dQ.png	(from https://help.getkello.com/article/28-when-connecting-my-kello-to-my-wi-fi-network-i-have-an-error)
14:05:29	146123/146123	---M--	200	added ('OK')	image/png	etag:%224212f6683d141228ed3e27078174cefa%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/591291f00428634b4a32ff73/file-VWqfV9QARL.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/591291f00428634b4a32ff73/file-VWqfV9QARL.png	(from https://help.getkello.com/article/28-when-connecting-my-kello-to-my-wi-fi-network-i-have-an-error)
14:06:08	209675/209675	---M--	200	added ('OK')	image/gif	etag:%2230f805aaaa697d2a650bd4d998cf2621%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/59129c970428634b4a32ff9f/file-nZ0GTpmBSe.gif	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/59129c970428634b4a32ff9f/file-nZ0GTpmBSe.gif	(from https://help.getkello.com/article/28-when-connecting-my-kello-to-my-wi-fi-network-i-have-an-error)
14:06:09	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Apr%202025%2012:06:08%20GMT	http://www.getkello.com/contact	./site_kello_help/www.getkello.com/contact.22.delayed	(from https://help.getkello.com/article/28-when-connecting-my-kello-to-my-wi-fi-network-i-have-an-error)
14:06:13	117042/117042	---MCZ	200	added ('OK')	text/css	etag:%2239a5a7b97fd6e4aad8fe8f89b35bb4438571a791%22	http://d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1746007370267.css	./site_kello_help/d3eto7onm69fcz.cloudfront.net/assets/stylesheets/launch-1746007370267.css	(from https://help.getkello.com/article/72-setup-my-kello-manually)
14:06:43	150406/150406	---M--	200	added ('OK')	image/gif	etag:%22cf3c495f870126c93e708f9b06c433b5%22	http://d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58d353df2c7d3a79f5f8f401/file-GN0oTtqE0s.gif	./site_kello_help/d33v4339jhl8k0.cloudfront.net/docs/assets/58cba81b2c7d3a79f5f8d1fa/images/58d353df2c7d3a79f5f8f401/file-GN0oTtqE0s.gif	(from https://help.getkello.com/article/72-setup-my-kello-manually)
14:06:44	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Apr%202025%2012:06:43%20GMT	http://www.getkello.com/support	./site_kello_help/www.getkello.com/support.25.delayed	(from https://help.getkello.com/article/68-how-to-enable-multicast-and-upnp-on-my-router)
14:07:06	111014/111014	---M--	200	added ('OK')	binary/octet-stream	etag:%223f8c653f16cdea5d25bbde01d0eca5c1%22	https://d33v4339jhl8k0.cloudfront.net/inline/65654/90a35b18d0a54621e76494fdd8255176bc2f8430/2448c3e52df63bfed67e6cd0c861e711c8578a6c/f904cb9db1755076093fd47cd4512b1e.png	./site_kello_help/d33v4339jhl8k0.cloudfront.net/inline/65654/90a35b18d0a54621e76494fdd8255176bc2f8430/2448c3e52df63bfed67e6cd0c861e711c8578a6c/f904cb9db1755076093fd47cd4512b1e.png	(from https://help.getkello.com/article/68-how-to-enable-multicast-and-upnp-on-my-router)
